City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,horta,38.5333,-28.6333,17.8,84,20,7.72,PT,1706978811
83,benito juarez,19.385,-99.165,19.91,12,0,3.09,MX,1706978811
84,yellowknife,62.456,-114.3525,-15.8,95,100,8.49,CA,1706978811
85,namibe,-15.1961,12.1522,26.87,77,98,2.72,AO,1706978811
86,puerto ayora,-0.7393,-90.3518,30.98,79,56,4.89,EC,1706978811
87,sao domingos do maranhao,-5.5758,-44.3853,28.57,76,87,0.71,BR,1706978811
88,malango,-2.9627,119.9001,21.16,98,100,0.76,ID,1706978812
89,tura,25.5198,90.2201,13.15,33,0,1.7,IN,1706978812
90,chinsali,-10.5414,32.0816,19.03,95,68,2.07,ZM,1706978812
91,isafjordur,66.0755,-23.124,-3.98,86,100,1.54,IS,1706978812
92,mahibadhoo,3.7833,72.9667,27.9,79,66,4.91,MV,1706978812
93,whitehorse,60.7161,-135.0538,-28.57,69,40,2.06,CA,1706978532
94,cabo san lucas,22.8909,-109.9124,22.51,45,4,1.79,MX,1706978813
95,lagoa,39.05,-27.9833,15.8,87,0,7.48,PT,1706978813
96,dharan,26.8125,87.2835,12.83,57,0,2.54,NP,1706978813
97,uglegorsk,49.0833,142.0333,-12.45,76,100,7.78,RU,1706978813
98,noosa heads,-26.3833,153.15,23.39,84,13,0.95,AU,1706978813
99,betio village,1.358,172.9211,29.02,77,100,7.33,KI,1706978813
100,duba,27.3513,35.6901,18.6,39,0,5.18,SA,1706978814
101,atafu village,-8.5421,-172.5159,28.78,77,100,8.58,TK,1706978814
102,hargeysa,9.56,44.065,18.32,89,44,6.97,SO,1706978814
103,sebastopol,44.6,33.5333,7.22,53,100,2.24,UA,1706978814
104,bilibino,68.0546,166.4372,-28.15,76,0,3.36,RU,1706978814
105,mundri,-6.9558,111.71,24.4,93,95,3.98,ID,1706978815
106,geraldton,-28.7667,114.6,21.23,73,75,10.8,AU,1706978433
107,wenchang,30.904,118.4887,1.56,96,100,2.52,CN,1706978815
108,hawaiian paradise park,19.5933,-154.9731,18.73,91,100,6.69,US,1706978519
109,punta arenas,-53.15,-70.9167,11.06,62,40,8.23,CL,1706978815
110,susuman,62.7833,148.1667,-25.01,94,100,1.79,RU,1706978815
111,bethel,41.3712,-73.414,4.0,58,0,5.66,US,1706978816
112,iskushuban,10.2837,50.23,23.38,77,80,6.8,SO,1706978816
113,stanley,54.868,-1.6985,8.77,78,20,7.2,GB,1706978816
114,guercif,34.2257,-3.3536,17.51,42,0,4.87,MA,1706978816
115,tolanaro,-25.0319,46.9987,25.04,83,20,9.26,MG,1706978816
116,tromso,69.6496,18.957,-2.99,100,100,0.0,NO,1706978638
117,tumayr,25.7039,45.868,12.35,28,5,4.46,SA,1706978816
118,tiksi,71.6872,128.8694,-35.86,100,100,2.36,RU,1706978817
119,hotan,37.0997,79.9269,-2.43,78,100,2.26,CN,1706978817
120,dudinka,69.4058,86.1778,-14.07,94,100,5.36,RU,1706978817
121,hermanus,-34.4187,19.2345,25.45,64,71,5.9,ZA,1706978817
122,khandyga,62.6667,135.6,-42.58,100,72,1.07,RU,1706978817
123,taoudenni,22.6783,-3.9836,25.76,8,5,6.27,ML,1706978818
124,clarkston heights-vineland,46.3874,-117.083,6.78,90,100,1.54,US,1706978818
125,sarmiento,-45.5882,-69.07,17.64,19,9,1.55,AR,1706978818
126,alice springs,-23.7,133.8833,29.01,30,100,3.09,AU,1706978818
127,yugorsk,61.3133,63.3319,-16.86,94,97,3.6,RU,1706978818
128,cidreira,-30.1811,-50.2056,26.43,69,0,6.7,BR,1706978818
129,ilhabela,-23.7781,-45.3581,26.05,79,100,1.92,BR,1706978819
130,mount gambier,-37.8333,140.7667,13.45,94,3,1.36,AU,1706978819
131,saipan,15.1355,145.701,26.39,73,20,9.26,MP,1706978819
132,carutapera,-1.195,-46.02,30.48,60,80,3.08,BR,1706978819
133,manokwari,-0.8667,134.0833,25.76,82,42,1.78,ID,1706978819
134,macia,-25.0269,33.0989,24.26,70,25,3.82,MZ,1706978819
135,flin flon,54.7682,-101.865,-1.09,100,100,3.09,CA,1706978820
136,college,64.8569,-147.8028,-38.64,63,100,0.0,US,1706978820
137,ilulissat,69.2167,-51.1,-20.99,49,20,3.6,GL,1706978820
138,salima,-13.7804,34.4587,23.17,81,38,1.24,MW,1706978820
139,concordia,-31.393,-58.0209,36.38,33,0,3.15,AR,1706978820
140,anadyr,64.75,177.4833,-20.56,76,0,3.58,RU,1706978821
141,colonia,50.9333,6.95,11.09,88,75,5.66,DE,1706978698
142,aasiaat,68.7098,-52.8699,-30.31,97,40,2.58,GL,1706978821
143,sumenep,-7.0167,113.8667,25.93,89,100,3.54,ID,1706978821
144,rudsar,37.1376,50.288,7.99,70,0,3.37,IR,1706978821
145,chamical,-30.36,-66.314,39.79,17,14,3.48,AR,1706978821
146,mallapuram,11.9667,78.25,22.59,77,25,2.15,IN,1706978822
147,port augusta,-32.5,137.7667,25.18,46,75,2.25,AU,1706978822
148,san rafael,-34.6177,-68.3301,30.69,19,0,7.02,AR,1706978822
149,callao,-12.0667,-77.15,27.16,65,0,6.69,PE,1706978822
150,ma'rib,15.4591,45.3253,24.78,28,49,2.61,YE,1706978823
151,colby,39.3958,-101.0524,8.51,91,100,9.26,US,1706978823
152,vetlanda,57.4289,15.0776,5.03,74,39,7.43,SE,1706978823
153,kirakira,-10.4544,161.9205,27.0,83,97,4.35,SB,1706978823
154,kristiansund,63.1115,7.732,4.03,69,75,18.01,NO,1706978824
155,lebu,-37.6167,-73.65,17.6,66,3,9.51,CL,1706978796
156,east ballina,-28.8667,153.5833,25.44,84,91,3.38,AU,1706978824
157,codrington,-38.2667,141.9667,14.14,92,20,1.78,AU,1706978824
158,presque isle,46.6811,-68.0159,-5.28,65,0,5.66,US,1706978824
159,gorom-gorom,14.4439,-0.2361,29.98,10,22,5.38,BF,1706978825
160,vorgashor,67.5833,63.95,-18.75,92,100,4.79,RU,1706978825
161,papatowai,-46.5619,169.4708,9.2,71,86,4.12,NZ,1706978825
162,hammerfest,70.6634,23.6821,-3.75,80,75,5.66,NO,1706978825
163,sergeyevka,53.88,67.4158,-3.55,97,100,3.88,KZ,1706978825
164,nizhneudinsk,54.9076,99.0276,-15.34,98,100,0.71,RU,1706978652
165,lihue,21.9789,-159.3672,20.77,55,100,12.86,US,1706978826
166,longyearbyen,78.2186,15.6401,-10.09,73,0,7.2,SJ,1706978826
167,arkhangel'sk,64.5401,40.5433,-4.94,100,100,4.0,RU,1706978826
168,georgetown,5.4112,100.3354,28.96,82,20,1.03,MY,1706978655
169,recani,31.2846,-4.2688,18.46,13,24,1.96,MA,1706978827
170,liaocheng,36.4439,115.9647,-3.22,54,51,4.15,CN,1706978827
171,el calafate,-50.3408,-72.2768,12.16,46,23,4.5,AR,1706978827
172,cascais,38.6979,-9.4215,19.17,72,0,3.58,PT,1706978827
173,port alfred,-33.5906,26.891,22.88,91,37,7.11,ZA,1706978827
174,arteche,12.2645,125.4048,25.76,78,48,4.01,PH,1706978828
175,kolonia,50.9333,6.95,11.09,88,75,5.66,DE,1706978655
176,kiunga,-6.1219,141.2906,23.3,100,100,0.72,PG,1706978828
177,port mathurin,-19.6833,63.4167,26.71,73,19,7.4,MU,1706978828
178,tanumah,27.1,44.1333,13.53,26,20,3.65,SA,1706978828
179,badger,64.8,-147.5333,-38.69,58,0,0.0,US,1706978828
180,det udom,14.906,105.0784,26.9,46,44,3.31,TH,1706978829
181,ta`u,-14.2336,-169.5144,27.9,81,100,4.45,AS,1706978829
182,magdagachi,53.45,125.8,-30.13,100,31,1.21,RU,1706978829
183,changsu,35.6484,127.5152,2.56,99,100,0.89,KR,1706978830
184,toba,34.4833,136.85,7.0,85,100,0.89,JP,1706978830
185,howard springs,-12.497,131.047,28.95,95,98,3.45,AU,1706978830
186,laojunmiao,39.8333,97.7333,-10.14,72,17,1.33,CN,1706978830
187,sodankyla,67.4167,26.6,-2.57,96,100,3.94,FI,1706978831
188,chakari,-18.0629,29.8925,22.51,56,44,0.55,ZW,1706978831
189,lilongwe,-13.9669,33.7873,25.11,73,75,4.12,MW,1706978831
190,qarauyl,48.9451,79.255,-9.92,78,91,3.23,KZ,1706978831
191,hithadhoo,-0.6,73.0833,28.51,77,100,3.16,MV,1706978831
192,lospalos,-8.5186,127.0025,23.67,92,83,2.17,TL,1706978832
193,tukrah,32.5341,20.5791,13.89,71,21,2.9,LY,1706978832
194,danville,36.586,-79.395,9.93,54,0,2.06,US,1706978574
195,dongola,19.1667,30.4833,17.69,21,88,4.82,SD,1706978832
196,volkhov,59.9258,32.3382,0.04,98,100,3.16,RU,1706978832
197,el sauzal de rodriguez,31.9,-116.6833,10.79,84,37,1.0,MX,1706978832
198,i-n-salah,27.1935,2.4607,19.15,20,0,7.41,DZ,1706978833
199,arar,30.9753,41.0381,13.01,47,75,0.0,SA,1706978833
200,north bend,43.4065,-124.2243,6.59,87,20,2.57,US,1706978833
201,beipiao,41.7919,120.7792,-11.0,58,3,0.61,CN,1706978833
202,nemuro,43.3236,145.575,-5.52,69,29,6.36,JP,1706978833
203,rengali,21.6333,84.05,19.16,44,2,0.78,IN,1706978834
204,cill airne,52.05,-9.5167,10.03,100,100,0.0,IE,1706978834
205,mpulungu,-8.7623,31.1141,23.22,83,67,0.82,ZM,1706978834
206,nampula,-15.1165,39.2666,23.06,90,81,1.46,MZ,1706978834
207,langfang,39.5097,116.6947,-2.43,41,100,1.33,CN,1706978834
208,yuxi,24.355,102.5422,8.17,73,24,3.1,CN,1706978835
209,howrah,22.5892,88.3103,23.94,64,0,1.54,IN,1706978835
210,minas de marcona,-15.2119,-75.1103,23.39,62,70,4.4,PE,1706978835
